city,coordinates.latitude,coordinates.longitude,count,country,distance,firstUpdated,lastUpdated,location,parameters,sourceName,sourceNames
Antwerpen,51.236195,4.385224,4179,BE,5902293,2017-09-22 01:00:00+00:00,2019-08-05 03:00:00+00:00,BELAL01,"['pm10', 'pm25']",EEA Belgium,['EEA Belgium']
Antwerpen,51.1703,4.341005,8052,BE,5902428,2017-09-22 01:00:00+00:00,2019-08-05 03:00:00+00:00,BELHB23,"['so2', 'pm10', 'no2', 'pm25']",EEA Belgium,['EEA Belgium']
Antwerpen,51.109978,5.004864,1641,BE,5947480,2017-09-22 01:00:00+00:00,2019-01-09 01:00:00+00:00,BELLD01,['no2'],EEA Belgium,['EEA Belgium']
Antwerpen,51.120384,5.021546,1973,BE,5948067,2017-09-22 01:00:00+00:00,2019-08-05 03:00:00+00:00,BELLD02,['no2'],EEA Belgium,['EEA Belgium']
Antwerpen,51.32766,4.362261,1923,BE,5896736,2017-09-23 01:00:00+00:00,2019-08-05 03:00:00+00:00,BELR833,['no2'],EEA Belgium,['EEA Belgium']
Antwerpen,51.31393,4.403868,2326,BE,5899998,2018-03-07 00:00:00+00:00,2019-08-05 03:00:00+00:00,BELSA04,"['pm25', 'pm10']",EEA Belgium,['EEA Belgium']
Antwerpen,51.1928,5.2215343,1952,BE,5957478,2017-09-23 01:00:00+00:00,2019-08-05 03:00:00+00:00,BELWZ02,['so2'],EEA Belgium,['EEA Belgium']
Antwerpen,51.26099,4.424399,5943,BE,5903677,2017-09-22 01:00:00+00:00,2019-08-05 03:00:00+00:00,BETM802,"['pm25', 'no2', 'pm10']",EEA Belgium,['EEA Belgium']
Antwerpen,51.233654,5.163979,9709,BE,5951954,2017-09-22 01:00:00+00:00,2019-08-05 03:00:00+00:00,BETN016,"['o3', 'pm10', 'so2', 'no2', 'pm25']",EEA Belgium,['EEA Belgium']
Antwerpen,51.209663,4.431821,9547,BE,5906453,2017-09-22 01:00:00+00:00,2019-08-05 03:00:00+00:00,BETR801,"['pm10', 'no2', 'so2', 'o3', 'pm25']",EEA Belgium,['EEA Belgium']
Antwerpen,51.20952,4.4317923,7723,BE,5906458,2017-09-22 01:00:00+00:00,2019-08-05 03:00:00+00:00,BETR802,"['no2', 'pm10', 'co', 'pm25']",EEA Belgium,['EEA Belgium']
Antwerpen,51.22863,4.4284544,6203,BE,5905387,2017-09-22 01:00:00+00:00,2019-08-05 03:00:00+00:00,BETR803,"['pm10', 'pm25', 'no2']",EEA Belgium,['EEA Belgium']
Antwerpen,51.20823,4.4215593,6215,BE,5905864,2017-09-22 01:00:00+00:00,2019-08-05 03:00:00+00:00,BETR805,"['pm25', 'pm10', 'no2']",EEA Belgium,['EEA Belgium']
Antwerpen,51.2521,4.491362,7381,BE,5908341,2017-09-22 01:00:00+00:00,2019-08-05 03:00:00+00:00,BETR811,"['no2', 'pm10', 'pm25', 'o3']",EEA Belgium,['EEA Belgium']
Antwerpen,51.2147,4.3322062,1382,BE,5899876,2017-09-22 01:00:00+00:00,2018-01-04 03:00:00+00:00,BETR815,"['pm10', 'pm25', 'no2']",EEA Belgium,['EEA Belgium']
Antwerpen,51.17713,4.4179487,6108,BE,5907030,2017-09-22 01:00:00+00:00,2019-08-05 03:00:00+00:00,BETR817,"['pm25', 'no2', 'pm10']",EEA Belgium,['EEA Belgium']
Antwerpen,51.320415,4.4448104,3679,BE,5902313,2017-09-22 09:00:00+00:00,2019-08-05 03:00:00+00:00,BETR820,"['so2', 'no2']",EEA Belgium,['EEA Belgium']
Antwerpen,51.26429,4.34128,3846,BE,5898234,2017-09-22 01:00:00+00:00,2019-08-05 03:00:00+00:00,BETR822,"['no2', 'so2']",EEA Belgium,['EEA Belgium']
Antwerpen,51.348797,4.3397098,8684,BE,5894357,2017-09-22 01:00:00+00:00,2019-08-05 03:00:00+00:00,BETR831,"['no2', 'pm10', 'pm25', 'so2', 'o3']",EEA Belgium,['EEA Belgium']
